CustomerID,Total_Spend,Average_Order_Value,Median_Order_Value,Maximum_Order_Value,Minimum_Order_Value,Total_Quantity,Average_Quantity,Maximum_Quantity,Minimum_Quantity,Total_Transactions,Unique_Products,Unique_Descriptions,Average_Unit_Price,Maximum_Unit_Price,Minimum_Unit_Price,Countries,First_Purchase,Last_Purchase,Recency,Customer_Lifetime,Spend_per_Transaction,Quantity_per_Transaction,Product_Diversity,Cancellation_Rate
12346,77183.6,77183.6,77183.6,77183.6,77183.6,74215,74215.0,74215,74215,1,1,1,1.04,1.04,1.04,1,2011-01-18 10:01:00,2011-01-18 10:01:00,326,0,77183.6,74215.0,1.0,0.5
12347,4310.0,23.681318681318682,17.0,249.60000000000002,5.04,2458,13.505494505494505,240,2,7,103,103,2.644010989010989,12.75,0.25,1,2010-12-07 14:57:00,2011-12-07 15:52:00,2,365,615.7142857142857,351.14285714285717,14.714285714285714,0.0
12348,1797.24,57.97548387096774,41.76,240.0,13.200000000000001,2341,75.51612903225806,144,1,4,22,22,5.764838709677419,40.0,0.29,1,2010-12-16 19:09:00,2011-09-25 13:13:00,75,282,449.31,585.25,5.5,0.0
12349,1757.55,24.076027397260273,17.700000000000003,300.0,6.64,631,8.643835616438356,36,1,1,73,73,8.289041095890411,300.0,0.42,1,2011-11-21 09:51:00,2011-11-21 09:51:00,19,0,1757.55,631.0,73.0,0.0
12350,334.4,19.670588235294115,19.799999999999997,40.0,8.5,197,11.588235294117647,24,1,1,17,17,3.841176470588235,40.0,0.85,1,2011-02-02 16:01:00,2011-02-02 16:01:00,310,0,334.4,197.0,17.0,0.0
12352,2506.04,29.482823529411764,17.700000000000003,376.5,9.9,536,6.305882352941176,16,1,8,59,59,15.93070588235294,376.5,0.65,1,2011-02-16 12:33:00,2011-11-03 14:37:00,36,260,313.255,67.0,7.375,0.9090909090909091
12353,89.0,22.25,18.8,39.8,11.6,20,5.0,8,2,1,4,4,6.074999999999999,9.95,1.45,1,2011-05-19 17:47:00,2011-05-19 17:47:00,204,0,89.0,20.0,4.0,0.0
12354,1079.4,18.610344827586207,16.95,54.08,8.5,530,9.137931034482758,32,1,1,58,58,4.5037931034482765,16.95,0.42,1,2011-04-21 13:11:00,2011-04-21 13:11:00,232,0,1079.4,530.0,58.0,0.0
12355,459.4,35.33846153846154,25.5,120.0,17.700000000000003,240,18.46153846153846,96,2,1,13,13,4.203846153846154,12.75,1.25,1,2011-05-09 13:49:00,2011-05-09 13:49:00,214,0,459.4,240.0,13.0,0.0
12356,2811.43,47.65135593220339,34.8,324.0,3.75,1591,26.966101694915253,120,2,3,53,53,3.201186440677966,18.0,0.42,1,2011-01-18 09:50:00,2011-11-17 08:40:00,23,302,937.1433333333333,530.3333333333334,17.666666666666668,0.0
12357,6207.67,47.38679389312977,35.400000000000006,237.60000000000002,10.08,2708,20.671755725190838,96,1,1,131,131,3.3486259541984733,25.0,0.39,1,2011-11-06 16:07:00,2011-11-06 16:07:00,33,0,6207.67,2708.0,131.0,0.0
12358,1168.06,61.47684210526315,71.4,160.0,9.36,248,13.052631578947368,36,2,2,13,13,8.27421052631579,40.0,0.39,1,2011-07-12 10:04:00,2011-12-08 10:26:00,2,149,584.03,124.0,6.5,0.0
12359,6372.58,25.695887096774193,17.700000000000003,290.0,6.959999999999999,1622,6.540322580645161,25,1,4,214,213,8.620403225806452,145.0,0.29,1,2011-01-12 12:43:00,2011-10-13 12:47:00,58,274,1593.145,405.5,53.5,1.0
12360,2662.06,20.63612403100775,15.6,160.0,5.04,1165,9.031007751937985,36,2,3,105,105,3.5496899224806198,40.0,0.42,1,2011-05-23 09:43:00,2011-10-18 15:22:00,52,148,887.3533333333334,388.3333333333333,35.0,0.0
12361,189.9,18.990000000000002,17.700000000000003,23.4,15.0,91,9.1,12,1,1,10,10,3.335,15.0,1.65,1,2011-02-25 13:51:00,2011-02-25 13:51:00,287,0,189.9,91.0,10.0,0.0
